WL [mn],T
915.15,0.55977
915.45,0.57519
915.75,0.58739
916.05,0.58384
916.35,0.59727
916.66,0.61364
916.96,0.6285
917.26,0.64285
917.56,0.67708
917.86,0.70343
918.16,0.71226
918.46,0.73892
918.76,0.75556
919.06,0.78948
919.36,0.79203
919.66,0.80281
919.96,0.81574
920.26,0.83107
920.56,0.83548
920.87,0.82533
921.17,0.82333
921.47,0.81358
921.77,0.80253
922.07,0.78641
922.37,0.76289
922.67,0.74199
922.97,0.72547
923.27,0.70492
923.57,0.67402
923.87,0.66209
924.17,0.64503
924.46,0.62172
924.76,0.60081
925.06,0.59613
925.36,0.57907
925.66,0.57522
925.96,0.55598
926.26,0.56146
926.56,0.54541
926.86,0.54821
927.16,0.55798
927.46,0.55835
927.76,0.57093
928.06,0.58747
928.36,0.60592
928.65,0.62509
928.95,0.63994
929.25,0.65813
929.55,0.68216
929.85,0.70807
930.15,0.72857
930.45,0.74852
930.75,0.7627
931.04,0.78381
931.34,0.80927
931.64,0.81058
931.94,0.82997
932.24,0.83486
932.54,0.83865
932.83,0.82982
933.13,0.83998
933.43,0.8182
933.73,0.80271
934.03,0.77868
934.32,0.75816
934.62,0.74003
934.92,0.71834
935.22,0.70128
935.51,0.67511
935.81,0.65656
936.11,0.62356
936.41,0.6066
936.7,0.5996
937,0.5946
937.3,0.5883
937.6,0.5723
937.89,0.55256
938.19,0.55064
938.49,0.55993
938.78,0.55967
939.08,0.55056
939.38,0.56546
939.67,0.57117
939.97,0.57743
940.27,0.60408
940.56,0.61288
940.86,0.63396
941.16,0.65633
941.45,0.67813
941.75,0.69133
942.05,0.70879
942.34,0.74002
942.64,0.77197
942.94,0.78025
943.23,0.79375
943.53,0.81329
943.82,0.80868
944.12,0.82814
944.42,0.84309
944.71,0.84543
945.01,0.83541
945.3,0.82538
945.6,0.8179
945.89,0.82111
946.19,0.80628
946.49,0.78497
946.78,0.73783
947.08,0.69868
947.37,0.70152
947.67,0.68099
947.96,0.663
948.26,0.65145
948.55,0.64124
948.85,0.61113
949.14,0.59294
949.44,0.57389
949.73,0.56849
950.03,0.58208
950.32,0.5589
950.62,0.56338
950.91,0.57011
951.21,0.55704
951.5,0.5561
951.8,0.57526
952.09,0.57888
952.38,0.58305
952.68,0.59925
952.97,0.61465
953.27,0.61743
953.56,0.63821
953.86,0.65802
954.15,0.68924
954.44,0.71152
954.74,0.73564
955.03,0.75365
955.32,0.76427
955.62,0.76361
955.91,0.77766
956.21,0.80031
956.5,0.81568
956.79,0.80075
957.09,0.81498
957.38,0.81124
957.67,0.82672
957.97,0.79895
958.26,0.79898
958.55,0.78494
958.85,0.76937
959.14,0.75339
959.43,0.7164
959.72,0.69997
960.02,0.68659
960.31,0.68847
960.6,0.66601
960.9,0.6376
961.19,0.61851
961.48,0.62459
961.77,0.60709
962.07,0.60649
962.36,0.59131
962.65,0.57229
962.94,0.57124
963.24,0.56875
963.53,0.57352
963.82,0.56222
964.11,0.57332
964.4,0.5678
964.7,0.57279
964.99,0.58059
965.28,0.59122
965.57,0.59738
965.86,0.61145
966.16,0.63366
966.45,0.66037
966.74,0.67692
967.03,0.69878
967.32,0.70876
967.61,0.73769
967.9,0.74281
968.2,0.76597
968.49,0.80308
968.78,0.79872
969.07,0.7936
969.36,0.78972
969.65,0.8139
969.94,0.82887
970.23,0.82022
970.52,0.81751
970.81,0.81869
971.1,0.79891
971.4,0.79332
971.69,0.77602
971.98,0.75755
972.27,0.76156
972.56,0.7635
972.85,0.71004
973.14,0.71494
973.43,0.69708
973.72,0.66318
974.01,0.63471
974.3,0.61601
974.59,0.61134
974.88,0.5935
975.17,0.60847
975.46,0.57521
975.75,0.56909
976.04,0.57794
976.33,0.60928
976.62,0.59488
976.91,0.58157
977.2,0.56189
977.49,0.53198
977.77,0.5659
978.06,0.57901
978.35,0.5851
978.64,0.57441
978.93,0.62364
979.22,0.61565
979.51,0.65818
979.8,0.66692
980.09,0.66601
980.38,0.70448
980.67,0.68546
980.95,0.6988
981.24,0.7472
981.53,0.79506
981.82,0.78778
982.11,0.78427
982.4,0.78439
982.69,0.7874
982.97,0.78374
983.26,0.80025
983.55,0.8115
983.84,0.79164
984.13,0.81365
984.41,0.82736
984.7,0.81146
984.99,0.79839
985.28,0.76216
985.57,0.78617
985.85,0.76136
986.14,0.74086
986.43,0.73286
986.72,0.70248
987,0.7096
987.29,0.66782
987.58,0.64668
987.87,0.63846
988.15,0.66583
988.44,0.64741
988.73,0.61574
989.01,0.62259
989.3,0.59965
989.59,0.59165
989.88,0.59511
990.16,0.56705
990.45,0.57619
990.74,0.54914
991.02,0.55491
991.31,0.56649
991.6,0.55684
991.88,0.59267
992.17,0.61555
992.46,0.58672
992.74,0.60616
993.03,0.62229
993.31,0.62789
993.6,0.63133
993.89,0.63022
994.17,0.72155
994.46,0.74725
994.74,0.70805
995.03,0.70674
995.32,0.77144
995.6,0.78856
995.89,0.7665
996.17,0.80304
996.46,0.81572
996.74,0.83628
997.03,0.8521
997.31,0.83931
997.6,0.85953
997.89,0.81901
998.17,0.83504
998.46,0.77539
998.74,0.78831
999.03,0.79073
999.31,0.74557
999.6,0.71018
999.88,0.74092
